id	Rotatable bond count	logP	Polar surface area	acceptorcount	donorcount	Mass
1	4	3.50	32.34	2	1	352.90
2	4	4.16	79.20	3	1	385.46
3	3	4.64	33.61	1	1	311.388
4	3	3.70	51.14	5	0	318.380
5	4	3.70	40.43	3	2	467.205
6	1	4.22	47.58	2	0	234.302
7	5	5.01	37.30	2	1	300.442
8	2	6.64	57.53	3	2	456.711
9	4	3.90	97.99	5	4	274.272
10	1	0.02	83.55	4	1	258.233
11	4	8.02	155.52	8	6	518.562
12	9	3.94	40.54	3	1	304.21
13	0	-0.66	58.20	2	2	130.078
14	3	3.63	77.76	4	3	256.257
15	5	-0.11	88.89	5	3	252.34
16	2	-3.07	140.97	8	4	244.207
17	5	4.66	9.72	3	0	407.50
18	14	3.54	221.29	10	4	853.918
19	8	6.35	12.47	2	0	371.524
20	0	1.06	52.60	2	0	337.194
21	6	2.78	160.83	12	3	656.66
22	6	1.35	109.13	7	1	474.58
23	7	4.46	72.83	3	1	418.574
24	5	3.65	67.01	3	2	247.298
25	5	0.99	53.16	3	3	221.304
26	8	4.12	93.06	6	2	368.385
27	1	2.22	40.54	2	1	207.273
28	4	3.08	197.37	10	8	458.375
29	1	1.85	147.68	8	6	318.237
30	9	-0.24	210.54	12	5	454.447
31	11	3.24	104.06	5	3	422.562
32	3	2.82	86.19	3	1	314.36
33	5	0.10	41.57	2	1	261.08
34	3	-0.43	99.73	5	2	182.187
35	3	3.91	92.47	4	2	327.12
36	4	4.38	9.72	3	0	373.94
37	5	0.10	41.57	2	1	261.08
38	5	0.53	206.07	12	6	543.525
39	4	-2.78	206.60	11	8	584.659
40	6	3.83	82.14	6	0	427.47
41	5	1.74	65.07	5	0	317.341
42	6	1.66	65.07	5	0	319.357
43	10	3.55	91.99	7	3	421.593
44	0	2.82	45.75	2	1	220.231
45	20	6.42	69.56	3	3	397.644
46	3	-0.33	103.20	6	2	421.453
47	7	1.95	87.89	6	3	326.404
48	4	4.83	41.05	4	1	318.424
49	5	1.16	160.83	12	3	588.562
50	2	-0.80	60.77	4	2	185.223
51	7	2.57	166.28	8	4	585.698
52	1	2.88	52.90	4	1	292.338
53	2	4.08	95.86	4	3	479.617
54	6	0.36	74.60	4	2	310.38
55	12	3.55	142.17	7	3	550.652
56	4	-2.96	146.89	7	3	334.332
57	7	5.59	178.36	11	3	804.031
58	3	3.56	44.16	3	1	286.39
59	4	3.12	103.12	5	2	384.395
60	2	3.97	69.45	4	2	466.541
61	3	3.52	104.50	4	3	352.144
62	4	3.91	56.27	5	1	360.211
63	7	1.50	72.69	3	1	223.272
64	6	6.82	77.33	6	1	520.637
65	0	2.56	73.72	4	3	356.179
66	7	3.83	106.51	8	3	488.01
67	8	3.75	68.74	7	1	446.91
68	10	3.20	74.73	7	1	393.443
69	20	5.61	196.54	10	2	899.950
70	7	3.62	65.99	8	1	490.652
71	3	1.47	84.22	3	3	269.304
72	7	2.48	77.15	3	4	349.434
73	2	3.08	102.29	6	1	397.442
