ID	Rotatable bond count	logP	Polar surface area	acceptorcount	donorcount	Mass
10017767	5	3.28	58.29	5	0	381.50
10017876	5	3.60	66.48	3	1	436.94
10066938	9	4.54	24.30	3	0	422.540
10075507	5	4.65	30.29	3	0	379.479
10079718	7	3.88	35.94	4	1	388.94
10080094	10	5.51	55.84	3	0	463.497
10110509	4	4.55	38.77	4	0	351.446
10194990	9	3.18	28.60	4	0	397.607
10196694	9	3.49	60.96	5	2	437.584
10197358	6	3.36	55.57	3	0	378.472
10256943	10	5.06	26.71	3	1	425.01
10303143	8	3.56	22.61	4	0	438.68
10308486	10	4.65	52.23	3	1	450.671
10351874	11	3.27	44.73	4	2	354.494
10367306	9	4.79	41.49	5	0	448.586
10404137	4	3.84	48.99	3	1	345.446
10428606	7	2.94	67.96	5	1	408.498
10454631	9	4.14	24.94	4	0	382.548
10462395	7	4.65	57.70	5	1	450.60
10480070	3	3.38	44.09	4	0	417.557
10487207	4	1.53	69.60	7	0	314.345
10491201	9	3.40	68.02	3	1	381.520
10492061	6	4.90	51.97	4	1	388.394
10512699	4	2.76	24.30	3	0	342.462
10554475	4	4.19	50.08	3	2	361.489
10556719	6	4.78	50.16	3	1	416.569
10559892	5	4.84	48.99	3	1	379.89
10624391	7	3.56	67.35	5	1	394.519
10628662	7	4.47	58.64	4	1	442.559
10665642	4	3.82	54.80	5	0	385.394
10665655	5	4.19	33.53	4	0	388.515
10674184	6	3.67	53.76	2	0	422.569
10684861	6	4.70	42.16	3	0	375.516
10726445	5	3.80	42.16	3	0	361.420
10741211	4	4.05	75.60	3	2	377.492
10771858	5	4.02	58.37	3	1	401.510
10777899	7	2.61	60.62	5	0	351.83
10817318	5	3.95	66.57	3	1	378.472
10839113	5	4.43	58.37	3	1	389.499
10853186	9	4.47	54.70	3	1	474.524
10854637	7	3.55	22.61	4	0	412.64
10870080	8	4.44	23.55	3	0	384.58
10872624	5	4.14	32.34	2	1	338.426
10904288	4	4.60	9.72	3	0	341.543
10919957	2	3.69	40.62	2	0	406.570
11001300	9	4.07	35.94	4	1	408.586
11081112	6	4.17	47.73	4	0	392.499
11105383	7	4.29	74.94	4	2	432.520
11140616	5	4.28	41.15	3	1	355.389
11160624	8	4.26	24.30	3	0	388.98
11165702	3	4.88	23.55	2	0	390.55
11166552	5	3.04	64.80	4	0	364.83
11169337	7	4.66	43.70	3	2	411.97
11172047	8	4.30	41.57	3	1	425.03
11180560	5	4.35	45.40	4	0	406.505
11183162	6	3.07	9.72	3	0	365.513
11197167	5	4.87	9.72	3	0	361.96
11219494	6	3.40	47.09	3	0	386.447
11238896	4	2.73	71.43	5	0	353.426
11290139	7	4.46	58.73	4	1	432.564
11295346	8	2.94	71.26	4	1	444.458
11310610	7	4.90	50.80	4	1	448.538
11314533	6	4.64	29.54	3	0	371.428
11341334	5	3.77	24.30	3	0	364.537
11354888	8	4.53	23.55	3	0	378.560
11367252	6	4.52	74.16	3	2	428.536
11392940	9	5.25	45.40	4	0	422.548
11423041	8	3.79	59.50	3	0	414.93
11441961	6	3.64	58.37	3	1	369.509
11445592	7	3.03	71.26	4	1	370.497
11494138	6	2.94	9.72	3	0	353.554
11521771	9	3.29	70.67	2	2	445.62
11527683	9	4.60	56.90	4	1	437.54
11541255	4	4.37	58.29	5	0	405.52
11557280	5	3.58	43.70	3	2	395.93
11623381	5	3.22	22.61	4	0	422.592
11629806	6	3.44	59.23	3	0	389.499
11631096	6	2.93	26.71	3	1	308.510
11665218	6	5.12	41.05	4	1	412.581
11666711	5	2.74	58.81	3	0	391.471
11681580	11	4.51	44.73	4	2	396.575
11721219	5	4.26	18.95	4	0	401.502
11779621	6	3.77	58.81	4	0	403.91
11796385	6	3.49	51.39	4	0	357.47
11808860	6	4.28	63.05	4	1	451.574
11855700	6	4.33	26.71	3	1	386.60
11873574	4	4.29	42.16	3	0	373.90
11874639	8	4.90	35.16	3	1	406.549
11878566	7	3.13	39.68	4	0	440.65
11883253	3	4.86	26.79	3	0	409.59
11910793	9	5.10	41.49	5	0	444.623
